1C,1c
2D- и 3D-анимации,2d_and_3d_animations
48 вопросов,48_questions
6 шляп,6_hats
А/В-тесты,ab_tests
Адаптивная вёрстка,adaptive_layout
Алгоритм для выбора тактики в работе с критикой,algrthm_chsng_tctcs_dlng_crtcsm
Алгоритмы,algorithms
Анализ аудитории,audience_analysis
Анализ данных,data_analysis
Анализ протокола,protocol_analysis
Анализ рынка,market_analysis
Аналитика данных,data_analytics
Анимация,animation
Анкетирование,questioning
Аргумент-карты,argument_maps
Архитектура,architecture
Архитектура бренда,brand_architecture
Аудит юзабилити,usability_audit
Аутсорс,outsourcing
Базы данных,databases
Бакетизация,bacterization
Безопасность,security
Библиотеки,libraries
Бренд и позиционирование,brand_and_positioning
Брендбук,brandbook
Бриф,brief
Брифинг подрядчика,contractor_briefing
БЭМ и Atomic CSS,bem_and_atomic_css
Бюджетирование,budgeting
Бюджетирование бренда,brand_budgeting
Вайрфреймы,wireframes
Веб-серверы,web_servers
Верстка,layout
Виды логистики,types_of_logistics
ВКонтакте,vkontakte
Воронка подбора,selection_funnel
ВПР,vpr
Выборка,selection
Гайдлайны Android,adnr_guidlines
Гайдлайны iOS,ios_guidelines
Генеральная совокупность,general_population
Генерация идей,idea_generation
Геоданные,geodata
Гипотезы,hypotheses
Главред,glavred
Глубинные интервью,in_depth_interviews
Горячие клавиши,hotkeys
Дебагинг,debugging
Декорирование,decorating
Делегирование,delegation
Деплой,deploy
Дженерики,generics
Диаграмма Ганта,gantt_chart
Диаграммы сгорания,gantt_charts
Дизайн A/B-теста,ab_test_dsgn
Дизайн-мышление,dsgn_thinking
Дизайн-системы,dsgn_systems
Динамика рынка,market_dynamics
Директ Коммандер,direct_commander
Дисперсия,dispersion
Документация,documentation
Доля рынка,market_share
Домашнее тестирование,home_tstng
Зелёный тест,green_test
Импорт данных,,data_import,
Индексы,indexes
Интервью,interviews
Исикава,ishikawa
Исследования,research
Карта поиска,search_map
Карта рынка,market_map
Карточки товаров,product_cards
Кастдев,castdev
Квантиль,quantile
Ковариация,covariance
Кодогенерация,codogenization
Коммуникационная стратегия,communication_strategy
Композиция,composition
Конверсия,conversion
Конкурентный анализ,competitive_analysis
Консоль,console
Консоль запросов,query_console
Контент-маркетинг,content_marketing
Конфигуратор,configurator
Корреляция,correlation
Кредитный портфель,credit_portfolio
Логические функции,logic_functions
Матрица Эйзенхауэра,eisenhower_matrix
Матрица RACI,raci_matrix
Машинное обучение,machine_learning
Мегамаркет,megamarket
Медиана,median
Мерч,merch
Метафора,metaphor
Метрики,metrics
Многопоточность,multithreading
Моделирование,modeling
Модель построения убедительной речи RAS,ras_model_of_persuasive_speech_construction
Модель as is / as to be,model_as_is_as_to_be
Модель OSKAR,oskar_model
Модель PDSMI,pdsmi_model
Модель PSB: Problem Solution Benefit,psb_model:_problem_solution_benefit
Модель SOSTAC,sostac_model
Монтаж,mounting
Мощность,power
Набегающая волна,surging_wave
Налогообложение,taxation
Нормальное распределение,normal_distribution
Нулевая и альтернативная гипотезы,null_and_alternative_hypotheses
Объём групп,volume_of_groups
ООП,plo
Опрос,survey
Опросы,surveys
Основы ТРИЗ,triz_basics
Оценка маржинальности,estimation_of_marginality
Ошибки,mistakes
Паттерны,patterns
Пачка,bundle
Переменные,variables
План коммуникаций,communication_plan
План-фактный анализ,plan_fact_analysis
Планирование ассортимента бренда,brand_assortment_planning
Платёжный календарь,payment_calendar
Платформа бренда: «Колесо бренда» и «Пирамида бренда»,brand_platform:_brand_wheel_and_brand_pyramid
Поиск в соцсетях,social_media_search
Поиск идей,search_for_ideas
Портрет кандидата,candidate_portrait
Портфель продуктов,product_portfolio
Презентации,presentations
Презентация решений,solution_presentation
Проведение глубинных интервью,conducting_in_depth_interviews
Продвижение в digital,promotion_in_digital
Продолжительность эксперимента,duration_of_the_experiment
Продуктовые воронки,product_funnels
Продуктовые границы рынка,product_market_boundaries
Продуктовые метрики,product_metrics
Продуктовые процессы,product_processes
Проектирование,dsgn
Прототипирование,prototyping
Профилирование,profiling
Работа с гипотезами,working_with_hypotheses
Работа с текстом,working_with_text
Разработка новых продуктов,new_product_development
Реестр доработок,development_register
Реестр рисков,risk_register
Рендеринг,rendering
Рефакторинг,refactoring
Роутинг,rooting
РСБУ и МСФО,ras_and_ifrs
Сводные таблицы,summary_tables
Сегментация,segmentation
Сетевой эффект,network_effect
СКД,ras
Случайная величина,random_value
Среднее,mean
Стандартное отклонение,standard_deviation
Статистические тесты,statistical_tests
Стилизация,stylization
Сторителлинг,storytelling
Стратегия продукта,product_strategy
Структуры данных,data_structures
СhatGPT,chatgp
Сlean architecture,key_architecture
Т-критерий Стьюдента,student's_t_test
Тест и контроль,test_and_control
Технический долг,technical_debt
Типовые решения 1С,typical_1c_solutions
Типографика,typography
Типы данных,data_types
Типы переменных,variable_types
Транзакции,transactions
Триггеры,triggers
Тритмент,trigger
Управление проектом,project_management
Управление стеком,stack_management
Уровень значимости,significance_level
Факторный анализ,factor_analysis
Фасилитация,facilitation
Фильтры и сортировка,filters_and_sorting
Фича,ficha
Фокус-группа,focus_group
Формообразование,shaping
Формулы,formulas
Функция вероятности,probability_function
Функция распределения,distribution_function
Х-Ray-поиск,x_ray_search
Хабр Карьера,hubr_careers
Хантфлоу,huntflow
Холл-тест,hall_test
Хранимые процедуры,stored_procedures
Цвет,color
ЦПТ,ttc
Чек-листы,checklists
Чтение графиков,reading_charts
Шаблонизаторы,templates
Эксперимент,experiment
Юзабилити-тесты,usability_tests
Юнит-тестирование,unit_tstng
Юнит-экономика,unit_economy
Яндекс Бизнес,yandex_business
Яндекс Вебмастер,yandex_webmaster
Яндекс Взгляд,yandex_view
Яндекс Директ,yandex_direct
Яндекс Метрика,yandex_metric
Яндекс Трекер,yandex_tracker
Яндекс Формы,yandex_forms
Яндекс.Трекер,yandex_tracker
A/B тесты,ab_tests
A/B-тестирование,ab_tstng
A11y,a11y
AARRR воронка,aarrr_funnel
ABC-анализ для работы с портфелем,abc_analysis_for_portfolio_work
Adobe After Effects,adobe_after_effects
Adobe Illustrator,adobe_illustrator
Adobe Photoshop,adobe_photoshop
Adobe Premiere Pro,adobe_premiere_pro
Agile,agile
aiohttp,aiohttp
aiopg,aiopg
Airflow,airflow
Alation,alation
Allure,allure
Amass,amass
Amplitude,amplitude
Android SDK,adnr_sdk
Android Studio,adnr_studio
Ansible,ansible
AOV,aov
Apache Airflow,apache_airflow
Apache Kafka,apache_kafka
Apache Spark,apache_spark
apiDoc и Swagger,apidoc_and_swagger
Apidoc/Swagger,apidoc_swagger
ARPPU,arppu
ARPU,arpu
Asana,asana
asgi,asgi
AsyncIO,asyncio
AutoLayout,autolayout
AVG,avg
Backups,backups
BASH,bash
BDD,bdd
Boolean search,boolean_search
Boost,boost
BPMN,bpmn
Burp Suite,burp_suite
Canvas API,canvas_api
Catboost,catboost
