Умение слушать,listening-skills
Убеждение и аргументация,persuasion-and-argumentation
Нетворкинг: построение и поддержание бизнес-отношений,networking-building-and-maintaining-business-relationships
Ведение переговоров,negotiating
Проведение презентаций,making-presentations
Базовые навыки продаж,basic-sales-skills
Самопрезентация,self-presentation
Публичные выступления,public-speaking
Командная работа,teamwork
Нацеленность на результат,results-oriented
Деловое письмо,business-writing
Клиентоориентированность,customer-focus
Управление эмоциями,emotion-management
Управление стрессом,stress-management
Управление собственным развитием,self-development-management
Планирование и целеполагание,planning-and-goal-setting
Тайм-менеджмент,time-management
Инициативность,initiative
Рефлексия,reflection
Использование обратной связи,using-feedback
Системное мышление,systems-thinking
Креативное мышление,creative-thinking
Структурное мышление,structural-thinking
Логическое мышление,logical-thinking
Поиск и анализ информации,searching-and-analyzing-information
Выработка и принятие решений,decision-making-and-decision-making
Проектное мышление,project-thinking
Тактическое и стратегическое мышление,tactical-and-strategic-thinking
Управление исполнением,execution-management
Планирование,planning
Постановка задач сотрудникам,assigning-tasks-to-employees
Мотивирование,motivation
Контроль реализации задач,controlling-the-realization-of-tasks
Наставничество,mentoring
Ситуационное руководство и лидерство,situational-management-and-leadership
Ведение совещаний,leading-meetings
Подача обратной связи,giving-feedback
Управление проектами,project-management
Управление изменениями,change-management
Делегирование,delegation
